Table 6,,,,,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2003",,,,,,,,,,,,,,,,,
,,,Violent crime,,,,,Property crime,,,,,,,,,
"        Rate per 100,000 inhabitants",,249.8,2.4,23.7,87.9,135.9,"2,538.0",423.4,"1,913.8",200.8,,,,,,,
"Altoona, PA M.S.A.","128,155", ,,,,, ,,,,,,,,,,
    (Includes Blair County.),,,,,,,,,,,,,,,,,
        City of Altoona,"48,609",156,1,24,68,63,"1,420",357,983,80,,,,,,,
        Total area actually reporting,86.5%,241,2,34,93,112,"2,421",583,"1,706",132,,,,,,,
        Estimated total,100.0%,280,2,37,103,138,"2,788",636,"1,993",159,,,,,,,
"        Rate per 100,000 inhabitants",,218.5,1.6,28.9,80.4,107.7,"2,175.5",496.3,"1,555.1",124.1,,,,,,,
"Amarillo, TX M.S.A.","235,243", ,,,,, ,,,,,,,,,,
"    (Includes Armstrong, Carson, Potter, and Randall Counties.)",,,,,,,,,,,,,,,,,
        City of Amarillo,"179,762","1,501",17,97,378,"1,009","11,604","2,203","8,501",900,,,,,,,
        Total area actually reporting,100.0%,"1,612",17,113,389,"1,093","12,613","2,464","9,176",973,,,,,,,
"        Rate per 100,000 inhabitants",,685.2,7.2,48.0,165.4,464.6,"5,361.7","1,047.4","3,900.6",413.6,,,,,,,
"Ames, IA M.S.A.","80,850", ,,,,, ,,,,,,,,,,
    (Includes Story County.),,,,,,,,,,,,,,,,,
        City of Ames,"51,040",279,0,25,7,247,"1,738",215,"1,437",86,,,,,,,
        Total area actually reporting,100.0%,328,0,30,7,291,"2,508",368,"2,017",123,,,,,,,
"        Rate per 100,000 inhabitants",,405.7,0.0,37.1,8.7,359.9,"3,102.0",455.2,"2,494.7",152.1,,,,,,,
"Anchorage, AK M.S.A.","282,940", ,,,,, ,,,,,,,,,,
    (Includes Anchorage Municipality and Matanuska-Susitna Borough.),,,,,,,,,,,,,,,,,
        City of Anchorage,"271,085","1,744",17,244,340,"1,143","11,706","1,418","9,091","1,197",,,,,,,
        Total area actually reporting,100.0%,"1,921",17,249,347,"1,308","12,869","1,508","10,086","1,275",,,,,,,
"        Rate per 100,000 inhabitants",,678.9,6.0,88.0,122.6,462.3,"4,548.3",533.0,"3,564.7",450.6,,,,,,,
"Anderson, SC M.S.A.","172,238", ,,,,, ,,,,,,,,,,
    (Includes Anderson County.),,,,,,,,,,,,,,,,,
        City of Anderson,"25,940",210,2,8,60,140,"1,592",273,"1,211",108,,,,,,,
        Total area actually reporting,100.0%,"1,168",9,62,167,930,"8,257","2,093","5,519",645,,,,,,,
"        Rate per 100,000 inhabitants",,678.1,5.2,36.0,97.0,540.0,"4,793.9","1,215.2","3,204.3",374.5,,,,,,,
"Ann Arbor, MI M.S.A.1","335,334", ,,,,, ,,,,,,,,,,
    (Includes Washtenaw County.),,,,,,,,,,,,,,,,,
        City of Ann Arbor1,"115,552",327,1,24,99,203,"3,405",771,"2,409",225,,,,,,,
        Total area actually reporting,100.0%,"1,007",8,143,230,626,"10,972","2,243","7,661","1,068",,,,,,,
"        Rate per 100,000 inhabitants",,300.3,2.4,42.6,68.6,186.7,"3,272.0",668.9,"2,284.6",318.5,,,,,,,
"Anniston-Oxford, AL M.S.A.","111,970",,,,,,,,,,,,,,,,
    (Includes Calhoun County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Anniston,"23,868",502,2,28,155,317,"3,164",937,"2,011",216,,,,,,,
            Oxford,"12,841",105,1,3,28,73,"1,120",193,850,77,,,,,,,
        Total area actually reporting,100.0%,728,4,47,214,463,"6,131","1,607","4,148",376,,,,,,,
"        Rate per 100,000 inhabitants",,650.2,3.6,42.0,191.1,413.5,"5,475.6","1,435.2","3,704.6",335.8,,,,,,,
"Appleton, WI M.S.A.","209,705", ,,,,, ,,,,,,,,,,
    (Includes Calumet and Outagamie Counties.),,,,,,,,,,,,,,,,,
        City of Appleton,"71,037",139,0,17,21,101,"1,737",247,"1,417",73,,,,,,,
        Total area actually reporting,100.0%,194,2,30,33,129,"4,093",516,"3,415",162,,,,,,,
"        Rate per 100,000 inhabitants",,92.5,1.0,14.3,15.7,61.5,"1,951.8",246.1,"1,628.5",77.3,,,,,,,
"Asheville, NC M.S.A.","382,525", ,,,,, ,,,,,,,,,,
"    (Includes Buncombe, Haywood, Henderson, and Madison Counties.)",,,,,,,,,,,,,,,,,
        City of Asheville,"69,917",456,8,26,221,201,"5,003",960,"3,541",502,,,,,,,
        Total area actually reporting,99.7%,"1,111",12,78,318,703,"11,912","2,975","7,925","1,012",,,,,,,
        Estimated total,100.0%,"1,116",12,78,320,706,"11,984","2,991","7,977","1,016",,,,,,,
"        Rate per 100,000 inhabitants",,291.7,3.1,20.4,83.7,184.6,"3,132.9",781.9,"2,085.4",265.6,,,,,,,
"Athens-Clarke County, GA M.S.A.","173,523", ,,,,, ,,,,,,,,,,
"    (Includes Clarke, Madison, Oconee, and Oglethorpe Counties.)",,,,,,,,,,,,,,,,,
        City of Athens-Clarke County,"104,313",387,9,52,139,187,"6,084","1,076","4,612",396,,,,,,,
        Total area actually reporting,99.7%,528,11,60,156,301,"8,098","1,444","6,118",536,,,,,,,
        Estimated total,100.0%,531,11,60,157,303,"8,127","1,449","6,139",539,,,,,,,
"        Rate per 100,000 inhabitants",,306.0,6.3,34.6,90.5,174.6,"4,683.5",835.0,"3,537.9",310.6,,,,,,,
"Atlanta-Sandy Springs-Marietta, GA M.S.A.1","4,595,081",,,,,,,,,,,,,,,,
"    (Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, ",,,,,,,,,,,,,,,,,
"    Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties.) ",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Atlanta,"431,043","8,491",149,281,"3,701","4,360","38,231","8,065","22,931","7,235",,,,,,,
            Marietta,"62,921",324,5,15,156,148,"2,754",568,"1,852",334,,,,,,,
        Total area actually reporting,96.1%,"22,938",389,"1,171","9,685","11,693","191,624","41,004","121,041","29,579",,,,,,,
        Estimated total,100.0%,"23,551",399,"1,212","9,913","12,027","198,505","42,456","125,592","30,457",,,,,,,
"        Rate per 100,000 inhabitants",,512.5,8.7,26.4,215.7,261.7,"4,319.9",923.9,"2,733.2",662.8,,,,,,,
"Atlantic City, NJ M.S.A.","260,875", ,,,,, ,,,,,,,,,,
    (Includes Atlantic County.),,,,,,,,,,,,,,,,,
        City of Atlantic City,"40,397",600,5,23,276,296,"4,854",596,"4,094",164,,,,,,,
        Total area actually reporting,100.0%,"1,254",17,63,483,691,"11,081","1,888","8,699",494,,,,,,,
"        Rate per 100,000 inhabitants",,480.7,6.5,24.1,185.1,264.9,"4,247.6",723.7,"3,334.5",189.4,,,,,,,
"Auburn-Opelika, AL M.S.A.","118,498",,,,,,,,,,,,,,,,
    (Includes Lee County.),, ,,,,,,,,,,,,,,,
        City of: ,,,,,,,,,,,,,,,,,
            Auburn,"45,533",146,1,22,50,73,"1,972",546,"1,347",79,,,,,,,
            Opelika,"23,671",370,5,18,59,288,"1,475",311,"1,153",11,,,,,,,
        Total area actually reporting,100.0%,616,7,53,127,429,"5,051","1,299","3,553",199,,,,,,,
"        Rate per 100,000 inhabitants",,519.8,5.9,44.7,107.2,362.0,"4,262.5","1,096.2","2,998.4",167.9,,,,,,,
"Augusta-Richmond County, GA-SC M.S.A.","513,730", ,,,,, ,,,,,,,,,,
"    (Includes Burke, Columbia, McDuffie, and Richmond Counties, GA and Aiken and Edgefield Counties, SC.)",,,,,,,,,,,,,,,,,
        Total area actually reporting,99.5%,"1,988",46,262,618,"1,062","20,776","4,326","14,644","1,806",,,,,,,
        Estimated total,100.0%,"2,002",46,263,622,"1,071","20,919","4,349","14,750","1,820",,,,,,,
"        Rate per 100,000 inhabitants",,389.7,9.0,51.2,121.1,208.5,"4,072.0",846.6,"2,871.2",354.3,,,,,,,
"Bakersfield, CA M.S.A.1","701,341", ,,,,, ,,,,,,,,,,
    (Includes Kern County.),,,,,,,,,,,,,,,,,
        City of Bakersfield1,"263,707","1,514",24,41,439,"1,010","14,102","2,693","9,415","1,994",,,,,,,
        Total area actually reporting,100.0%,"3,742",46,203,784,"2,709","29,383","7,189","17,743","4,451",,,,,,,
"        Rate per 100,000 inhabitants",,533.5,6.6,28.9,111.8,386.3,"4,189.5","1,025.0","2,529.9",634.6,,,,,,,
"Baltimore-Towson, MD M.S.A.","2,626,193",,,,,,,,,,,,,,,,
"    (Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City.)",,,,,,,,,,,,,,,,,
        City of Baltimore,"644,554","11,183",270,204,"4,339","6,370","37,470","7,789","22,824","6,857",,,,,,,
        Total area actually reporting,100.0%,"23,190",341,652,"7,255","14,942","100,269","19,339","67,926","13,004",,,,,,,
"        Rate per 100,000 inhabitants",,883.0,13.0,24.8,276.3,569.0,"3,818.0",736.4,"2,586.5",495.2,,,,,,,
"Bangor, ME M.S.A.","147,286", ,,,,, ,,,,,,,,,,
    (Includes Penobscot County.),,,,,,,,,,,,,,,,,
        City of Bangor,"31,815",43,2,4,19,18,"1,746",209,"1,495",42,,,,,,,
        Total area actually reporting,100.0%,108,3,15,29,61,"4,443",845,"3,445",153,,,,,,,
"        Rate per 100,000 inhabitants",,73.3,2.0,10.2,19.7,41.4,"3,016.6",573.7,"2,339.0",103.9,,,,,,,
"Barnstable Town, MA M.S.A.","228,777", ,,,,, ,,,,,,,,,,
    (Includes Barnstable County.),,,,,,,,,,,,,,,,,
        City of Barnstable ,"48,898",332,1,41,27,263,"1,148",391,665,92,,,,,,,
        Total area actually reporting,97.5%,"1,128",2,93,57,976,"5,247","1,654","3,317",276,,,,,,,
        Estimated total,100.0%,"1,146",2,94,60,990,"5,364","1,680","3,393",291,,,,,,,
"        Rate per 100,000 inhabitants",,500.9,0.9,41.1,26.2,432.7,"2,344.6",734.3,"1,483.1",127.2,,,,,,,
"Baton Rouge, LA M.S.A.","719,006", ,,,,, ,,,,,,,,,,
"    (Includes Ascension, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana Parishes.)",,,,,,,,,,,,,,,,,
        City of Baton Rouge,"226,391","2,839",41,117,"1,039","1,642","15,897","3,887","10,403","1,607",,,,,,,
        Total area actually reporting,96.2%,"5,122",60,248,"1,382","3,432","36,542","7,944","25,818","2,780",,,,,,,
        Estimated total,100.0%,"5,260",61,256,"1,409","3,534","37,788","8,183","26,738","2,867",,,,,,,
"        Rate per 100,000 inhabitants",,731.6,8.5,35.6,196.0,491.5,"5,255.6","1,138.1","3,718.7",398.7,,,,,,,
"Battle Creek, MI M.S.A.","138,782", ,,,,, ,,,,,,,,,,
    (Includes Calhoun County.),,,,,,,,,,,,,,,,,
        City of Battle Creek,"53,808",691,2,69,122,498,"3,766",791,"2,745",230,,,,,,,
        Total area actually reporting,100.0%,"1,052",3,146,169,734,"6,898","1,550","4,883",465,,,,,,,
"        Rate per 100,000 inhabitants",,758.0,2.2,105.2,121.8,528.9,"4,970.4","1,116.9","3,518.5",335.1,,,,,,,
"Bay City, MI M.S.A.","109,994", ,,,,, ,,,,,,,,,,
    (Includes Bay County.),,,,,,,,,,,,,,,,,
        City of Bay City,"35,949",192,2,21,43,126,"1,258",321,831,106,,,,,,,
        Total area actually reporting,100.0%,316,3,67,61,185,"3,151",759,"2,166",226,,,,,,,
"        Rate per 100,000 inhabitants",,287.3,2.7,60.9,55.5,168.2,"2,864.7",690.0,"1,969.2",205.5,,,,,,,
"Beaumont-Port Arthur, TX M.S.A.","388,186",,,,,,,,,,,,,,,,
"    (Includes Hardin, Jefferson, and Orange Counties.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Beaumont,"114,626","1,051",6,85,331,629,"8,829","1,726","6,613",490,,,,,,,
            Port Arthur,"57,769",437,9,20,175,233,"2,793","1,055","1,445",293,,,,,,,
        Total area actually reporting,100.0%,"2,119",23,158,625,"1,313","18,764","4,655","12,786","1,323",,,,,,,
"        Rate per 100,000 inhabitants",,545.9,5.9,40.7,161.0,338.2,"4,833.8","1,199.2","3,293.8",340.8,,,,,,,
"Bellingham, WA M.S.A.","176,156", ,,,,, ,,,,,,,,,,
    (Includes Whatcom County.),,,,,,,,,,,,,,,,,
        City of Bellingham,"71,205",181,1,30,60,90,"5,138",790,"4,080",268,,,,,,,
        Total area actually reporting,100.0%,423,3,108,83,229,"8,695","1,951","6,238",506,,,,,,,
"        Rate per 100,000 inhabitants",,240.1,1.7,61.3,47.1,130.0,"4,936.0","1,107.5","3,541.2",287.2,,,,,,,
"Bend, OR M.S.A.","126,613", ,,,,, ,,,,,,,,,,
    (Includes Deschutes County.),,,,,,,,,,,,,,,,,
        City of Bend,"57,626",161,0,16,33,112,"3,468",597,"2,636",235,,,,,,,
        Total area actually reporting,100.0%,203,0,27,42,134,"5,434","1,041","3,993",400,,,,,,,
"        Rate per 100,000 inhabitants",,160.3,0.0,21.3,33.2,105.8,"4,291.8",822.2,"3,153.7",315.9,,,,,,,
"Billings, MT M.S.A.","142,566", ,, ,,, ,,,,,,,,,,
    (Includes Carbon and Yellowstone Counties.), ,,,,,,,,,,,,,,,,
        City of Billings,"92,834",230,3,19,66,142,"4,959",577,"4,048",334,,,,,,,
        Total area actually reporting,100.0%,333,3,23,73,234,"6,160",736,"5,005",419,,,,,,,
"        Rate per 100,000 inhabitants",,233.6,2.1,16.1,51.2,164.1,"4,320.8",516.3,"3,510.7",293.9,,,,,,,
"Binghamton, NY M.S.A.","252,525", ,,,,, ,,,,,,,,,,
    (Includes Broome and Tioga Counties.),,,,,,,,,,,,,,,,,
        City of Binghamton,"46,815",182,3,10,77,92,"1,947",213,"1,683",51,,,,,,,
        Total area actually reporting,100.0%,427,4,55,125,243,"6,046",809,"5,070",167,,,,,,,
"        Rate per 100,000 inhabitants",,169.1,1.6,21.8,49.5,96.2,"2,394.2",320.4,"2,007.7",66.1,,,,,,,
"Birmingham-Hoover, AL M.S.A.","1,071,569",,,,,,,,,,,,,,,,
"    (Includes Bibb, Blount, Chilton, Jefferson, St. Clair, Shelby, and Walker Counties.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Birmingham,"240,176","3,347",85,204,"1,352","1,706","19,574","4,831","11,934","2,809",,,,,,,
            Hoover,"64,469",242,0,18,113,111,"1,920",310,"1,480",130,,,,,,,
        Total area actually reporting,92.4%,"5,686",109,398,"2,097","3,082","42,292","9,939","27,673","4,680",,,,,,,
        Estimated total,100.0%,"5,997",112,424,"2,191","3,270","45,621","10,619","30,085","4,917",,,,,,,
"        Rate per 100,000 inhabitants",,559.6,10.5,39.6,204.5,305.2,"4,257.4",991.0,"2,807.6",458.9,,,,,,,
"Bismarck, ND M.S.A.","96,307", ,,,,, ,,,,,,,,,,
    (Includes Burleigh and Morton Counties.),,,,,,,,,,,,,,,,,
        City of Bismarck,"56,210",26,2,1,5,18,"1,282",122,"1,070",90,,,,,,,
        Total area actually reporting,100.0%,63,3,12,5,43,"1,910",213,"1,555",142,,,,,,,
"        Rate per 100,000 inhabitants",,65.4,3.1,12.5,5.2,44.6,"1,983.2",221.2,"1,614.6",147.4,,,,,,,
"Bloomington, IN M.S.A.","177,976", ,,,,, ,,,,,,,,,,
"    (Includes Greene, Monroe, and Owen Counties.)",,,,,,,,,,,,,,,,,
        City of Bloomington,"70,403",69,0,15,27,27,"2,485",441,"1,930",114,,,,,,,
        Total area actually reporting,82.6%,225,5,28,36,156,"4,120",825,"3,107",188,,,,,,,
        Estimated total,100.0%,285,5,33,47,200,"4,781",954,"3,576",251,,,,,,,
"        Rate per 100,000 inhabitants",,160.1,2.8,18.5,26.4,112.4,"2,686.3",536.0,"2,009.3",141.0,,,,,,,
"Boise City-Nampa, ID M.S.A.","507,451",,,,,,,,,,,,,,,,
"    (Includes Ada, Boise, Canyon, Gem, and Owyhee Counties.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Boise ,"193,414",632,3,108,78,443,"8,122","1,422","6,223",477,,,,,,,
            Nampa,"61,391",245,3,70,18,154,"2,544",456,"1,830",258,,,,,,,
        Total area actually reporting,98.6%,"1,446",13,256,137,"1,040","17,409","3,286","12,864","1,259",,,,,,,
        Estimated total,100.0%,"1,458",13,258,137,"1,050","17,546","3,322","12,956","1,268",,,,,,,
"        Rate per 100,000 inhabitants",,287.3,2.6,50.8,27.0,206.9,"3,457.7",654.6,"2,553.2",249.9,,,,,,,
"Boston-Cambridge-Quincy, MA-NH M.S.A.","4,453,436",,,,,,,,,,,,,,,,
"    (Includes the Metropolitan Divisions of Boston-Quincy, MA, Cambridge-Newton-Framingham, MA, and Essex County, MA and Rockingham County-Strafford County, NH.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Boston, MA","589,795","7,173",39,262,"2,759","4,113","27,876","4,344","17,069","6,463",,,,,,,
"            Cambridge, MA","101,896",513,3,7,229,274,"3,450",651,"2,389",410,,,,,,,
"            Quincy, MA","89,265",316,1,15,97,203,"1,530",334,"1,041",155,,,,,,,
"            Newton, MA","83,953",99,0,5,23,71,916,145,739,32,,,,,,,
"            Framingham, MA","66,885",173,1,17,36,119,"1,530",305,"1,038",187,,,,,,,
"            Waltham, MA","59,125",100,2,11,20,67,815,116,601,98,,,,,,,
        Total area actually reporting,96.4%,"19,463",84,986,"5,460","12,933","103,069","18,733","67,441","16,895",,,,,,,
        Estimated total,100.0%,"19,853",86,"1,031","5,538","13,198","106,193","19,268","69,669","17,256",,,,,,,
"        Rate per 100,000 inhabitants",,445.8,1.9,23.2,124.4,296.4,"2,384.5",432.7,"1,564.4",387.5,,,,,,,
"      Boston-Quincy, MA M.D.","1,833,760",,,,,,,,,,,,,,,,
"          (Includes Norfolk, Plymouth, and Suffolk Counties.)",,,,,,,,,,,,,,,,,
              Total area actually reporting,95.6%,"12,411",58,506,"3,908","7,939","52,199","8,841","33,483","9,875",,,,,,,
              Estimated total,100.0%,"12,680",59,521,"3,962","8,138","53,842","9,168","34,553","10,121",,,,,,,
"              Rate per 100,000 inhabitants",,691.5,3.2,28.4,216.1,443.8,"2,936.2",500.0,"1,884.3",551.9,,,,,,,
"      Cambridge-Newton-Framingham, MA M.D.","1,475,450",,,,,,,,,,,,,,,,
          (Includes Middlesex County.),,,,,,,,,,,,,,,,,
              Total area actually reporting,99.8%,"3,718",11,210,922,"2,575","27,875","5,688","18,750","3,437",,,,,,,
              Estimated total,100.0%,"3,728",11,211,924,"2,582","27,935","5,700","18,789","3,446",,,,,,,
"              Rate per 100,000 inhabitants",,252.7,0.7,14.3,62.6,175.0,"1,893.3",386.3,"1,273.4",233.6,,,,,,,
"      Essex County, MA M.D.","736,249",,,,,,,,,,,,,,,,
          (Includes Essex County.),,,,,,,,,,,,,,,,,
              Total area actually reporting,99.5%,"2,888",11,142,541,"2,194","16,871","3,374","10,348","3,149",,,,,,,
              Estimated total,100.0%,"2,899",11,143,543,"2,202","16,938","3,387","10,392","3,159",,,,,,,
"              Rate per 100,000 inhabitants",,393.8,1.5,19.4,73.8,299.1,"2,300.6",460.0,"1,411.5",429.1,,,,,,,
"      Rockingham County-Strafford County, NH M.D.","407,977",,,,,,,,,,,,,,,,
          (Includes Rockingham and Strafford Counties.),,,,,,,,,,,,,,,,,
              Total area actually reporting,81.8%,446,4,128,89,225,"6,124",830,"4,860",434,,,,,,,
              Estimated total,100.0%,546,5,157,109,275,"7,477","1,013","5,934",530,,,,,,,
"              Rate per 100,000 inhabitants",,133.8,1.2,38.5,26.7,67.4,"1,832.7",248.3,"1,454.5",129.9,,,,,,,
"Boulder, CO M.S.A.","281,932", ,,,,, ,,,,,,,,,,
    (Includes Boulder County.),,,,,,,,,,,,,,,,,
        City of Boulder,"95,089",214,0,52,37,125,"3,930",549,"3,184",197,,,,,,,
        Total area actually reporting,99.5%,848,4,111,89,644,"9,201","1,520","7,108",573,,,,,,,
        Estimated total,100.0%,852,4,111,90,647,"9,262","1,529","7,153",580,,,,,,,
"        Rate per 100,000 inhabitants",,302.2,1.4,39.4,31.9,229.5,"3,285.2",542.3,"2,537.1",205.7,,,,,,,
"Bremerton-Silverdale, WA M.S.A.","238,604",,,,,,,,,,,,,,,,
    (Includes Kitsap County.),, ,,,,,,,,,,,,,,,
        City of Bremerton,"36,680",416,3,66,65,282,"2,010",453,"1,383",174,,,,,,,
        Total area actually reporting,100.0%,993,6,175,104,708,"7,033","1,735","4,715",583,,,,,,,
"        Rate per 100,000 inhabitants",,416.2,2.5,73.3,43.6,296.7,"2,947.6",727.1,"1,976.1",244.3,,,,,,,
"Bridgeport-Stamford-Norwalk, CT M.S.A.","883,882",,,,,,,,,,,,,,,,
    (Includes Fairfield County.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Bridgeport,"141,030","1,365",15,49,439,862,"6,401","1,243","3,954","1,204",,,,,,,
            Stamford,"120,642",271,2,11,135,123,"2,167",319,"1,595",253,,,,,,,
            Norwalk,"84,683",355,1,13,156,185,"2,470",373,"1,750",347,,,,,,,
            Danbury,"77,425",118,0,16,56,46,"1,722",213,"1,352",157,,,,,,,
            Stratford,"50,503",114,2,8,73,31,"1,822",314,"1,290",218,,,,,,,
        Total area actually reporting,100.0%,"2,429",22,122,927,"1,358","19,681","3,304","13,806","2,571",,,,,,,
"        Rate per 100,000 inhabitants",,274.8,2.5,13.8,104.9,153.6,"2,226.7",373.8,"1,562.0",290.9,,,,,,,
"Brownsville-Harlingen, TX M.S.A.","359,058",,,,,,,,,,,,,,,,
    (Includes Cameron County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Brownsville,"152,764",757,8,42,164,543,"9,590","1,024","8,121",445,,,,,,,
            Harlingen,"60,307",324,2,13,53,256,"4,260",911,"3,171",178,,,,,,,
        Total area actually reporting,100.0%,"1,597",12,114,270,"1,201","20,015","3,407","15,712",896,,,,,,,
"        Rate per 100,000 inhabitants",,444.8,3.3,31.7,75.2,334.5,"5,574.3",948.9,"4,375.9",249.5,,,,,,,
"Brunswick, GA M.S.A.1","96,630", ,,,,, ,,,,,,,,,,
"    (Includes Brantley, Glynn, and McIntosh Counties.)",,,,,,,,,,,,,,,,,
        City of Brunswick,"15,825",133,0,16,85,32,"1,627",361,"1,179",87,,,,,,,
        Total area actually reporting,100.0%,,2,35,146,,"6,609","1,111","5,244",254,,,,,,,
"        Rate per 100,000 inhabitants",,,2.1,36.2,151.1,,"6,839.5","1,149.7","5,426.9",262.9,,,,,,,
"Burlington, NC M.S.A.","137,316", ,,,,, ,,,,,,,,,,
    (Includes Alamance County.),,,,,,,,,,,,,,,,,
        City of Burlington,"46,498",264,3,12,89,160,"3,197",638,"2,402",157,,,,,,,
        Total area actually reporting,98.6%,485,6,22,126,331,"5,540","1,364","3,911",265,,,,,,,
        Estimated total,100.0%,494,6,23,129,336,"5,651","1,389","3,992",270,,,,,,,
"        Rate per 100,000 inhabitants",,359.8,4.4,16.7,93.9,244.7,"4,115.3","1,011.5","2,907.2",196.6,,,,,,,
"Cape Coral-Fort Myers, FL M.S.A.","484,345",,,,,,,,,,,,,,,,
    (Includes Lee County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Cape Coral,"114,966",312,1,11,33,267,"3,763","1,044","2,544",175,,,,,,,
            Fort Myers,"50,874",965,12,29,275,649,"3,410",667,"2,130",613,,,,,,,
