Table 6,,,,,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2004",,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,,,,,,,
"        Rate per 100,000 inhabitants",,165.9,5.3,27.3,53.0,80.3,"2,591.5",520.4,"1,939.3",131.8,,,,,,,
"Anderson, SC M.S.A.","173,616", ,,,,, ,,,,,,,,,,
    (Includes Anderson County.),,,,,,,,,,,,,,,,,
        City of Anderson,"25,877",223,1,7,31,184,"1,647",266,"1,275",106,,,,,,,
        Total area actually reporting,100.0%,"1,252",14,51,160,"1,027","8,143","1,969","5,486",688,,,,,,,
"        Rate per 100,000 inhabitants",,721.1,8.1,29.4,92.2,591.5,"4,690.2","1,134.1","3,159.8",396.3,,,,,,,
"Ann Arbor, MI M.S.A.","339,658", ,,,,, ,,,,,,,,,,
    (Includes Washtenaw County.),,,,,,,,,,,,,,,,,
        City of Ann Arbor,"114,869",266,2,19,80,165,"3,104",748,"2,174",182,,,,,,,
        Total area actually reporting,100.0%,"1,090",8,126,268,688,"9,850","2,006","6,830","1,014",,,,,,,
"        Rate per 100,000 inhabitants",,320.9,2.4,37.1,78.9,202.6,"2,900.0",590.6,"2,010.8",298.5,,,,,,,
"Appleton, WI M.S.A.","212,209", ,,,,, ,,,,,,,,,,
    (Includes Calumet and Outagamie Counties.),,,,,,,,,,,,,,,,,
        City of Appleton,"70,826",161,2,38,23,98,"2,187",282,"1,822",83,,,,,,,
        Total area actually reporting,100.0%,202,2,50,29,121,"4,695",545,"3,980",170,,,,,,,
"        Rate per 100,000 inhabitants",,95.2,0.9,23.6,13.7,57.0,"2,212.4",256.8,"1,875.5",80.1,,,,,,,
"Asheville, NC M.S.A.","387,872", ,,,,, ,,,,,,,,,,
"    (Includes Buncombe, Haywood, Henderson, and Madison Counties.)",,,,,,,,,,,,,,,,,
        City of Asheville,"70,145",473,6,36,251,180,"4,984","1,087","3,371",526,,,,,,,
        Total area actually reporting,99.7%,"1,012",11,121,354,526,"12,595","3,478","7,894","1,223",,,,,,,
        Estimated total,100.0%,"1,017",11,121,356,529,"12,664","3,493","7,945","1,226",,,,,,,
"        Rate per 100,000 inhabitants",,262.2,2.8,31.2,91.8,136.4,"3,265.0",900.6,"2,048.4",316.1,,,,,,,
"Athens-Clarke County, GA M.S.A.","175,101", ,,,,, ,,,,,,,,,,
"    (Includes Clarke, Madison, Oconee, and Oglethorpe Counties.)",,,,,,,,,,,,,,,,,
        City of Athens-Clarke County,"104,361",467,5,49,166,247,"5,989","1,199","4,432",358,,,,,,,
        Total area actually reporting,99.7%,585,5,61,179,340,"7,994","1,450","6,065",479,,,,,,,
        Estimated total,100.0%,588,5,61,180,342,"8,023","1,455","6,086",482,,,,,,,
"        Rate per 100,000 inhabitants",,335.8,2.9,34.8,102.8,195.3,"4,581.9",830.9,"3,475.7",275.3,,,,,,,
"Atlanta-Sandy Springs-Marietta, GA M.S.A.1","4,686,829",,,,,,,,,,,,,,,,
"    (Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties.) ",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Atlanta,"430,066","7,922",112,267,"3,116","4,427","33,185","6,726","20,703","5,756",,,,,,,
            Marietta,"62,303",307,5,14,157,131,"2,413",472,"1,581",360,,,,,,,
        Total area actually reporting,85.4%,"22,245",338,"1,145","8,589","12,173","173,558","39,381","107,871","26,306",,,,,,,
        Estimated total,100.0%,"24,459",378,"1,307","9,402","13,372","198,010","45,190","123,130","29,690",,,,,,,
"        Rate per 100,000 inhabitants",,521.9,8.1,27.9,200.6,285.3,"4,224.8",964.2,"2,627.1",633.5,,,,,,,
"Atlantic City, NJ M.S.A.","265,254", ,,,,, ,,,,,,,,,,
    (Includes Atlantic County.),,,,,,,,,,,,,,,,,
        City of Atlantic City,"40,668",692,5,37,308,342,"4,649",599,"3,871",179,,,,,,,
        Total area actually reporting,100.0%,"1,408",11,86,550,761,"10,752","1,825","8,464",463,,,,,,,
"        Rate per 100,000 inhabitants",,530.8,4.1,32.4,207.3,286.9,"4,053.5",688.0,"3,190.9",174.5,,,,,,,
"Auburn-Opelika, AL M.S.A.","120,343",,,,,,,,,,,,,,,,
    (Includes Lee County.),, ,,,,,,,,,,,,,,,
        City of: ,,,,,,,,,,,,,,,,,
            Auburn,"47,230",147,2,29,48,68,"2,119",478,"1,583",58,,,,,,,
            Opelika,"23,762",332,2,29,42,259,"1,696",345,"1,315",36,,,,,,,
        Total area actually reporting,100.0%,553,10,62,111,370,"5,218","1,239","3,785",194,,,,,,,
"        Rate per 100,000 inhabitants",,459.5,8.3,51.5,92.2,307.5,"4,335.9","1,029.6","3,145.2",161.2,,,,,,,
"Augusta-Richmond County, GA-SC M.S.A.1","519,256", ,,,,, ,,,,,,,,,,
"    (Includes Burke, Columbia, McDuffie, and Richmond Counties, GA and Aiken and Edgefield Counties, SC.)",,,,,,,,,,,,,,,,,
        Total area actually reporting,99.3%,,20,250,620,,"22,724","4,536","15,672","2,516",,,,,,,
        Estimated total,100.0%,,20,251,626,,"22,925","4,569","15,820","2,536",,,,,,,
"        Rate per 100,000 inhabitants",,,3.9,48.3,120.6,,"4,415.0",879.9,"3,046.7",488.4,,,,,,,
"Austin-Round Rock, TX M.S.A.","1,400,772",,,,,,,,,,,,,,,,
"    (Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Austin,"683,298","3,589",27,303,"1,406","1,853","41,384","6,810","31,938","2,636",,,,,,,
            Round Rock,"79,255",94,0,16,19,59,"1,672",264,"1,361",47,,,,,,,
        Total area actually reporting,100.0%,"5,106",36,508,"1,569","2,993","58,979","10,698","44,699","3,582",,,,,,,
"        Rate per 100,000 inhabitants",,364.5,2.6,36.3,112.0,213.7,"4,210.5",763.7,"3,191.0",255.7,,,,,,,
"Bakersfield, CA M.S.A.","721,313", ,,,,, ,,,,,,,,,,
    (Includes Kern County.),,,,,,,,,,,,,,,,,
        City of Bakersfield,"274,162","1,948",23,56,527,"1,342","15,075","3,023","9,807","2,245",,,,,,,
        Total area actually reporting,100.0%,"4,421",51,217,931,"3,222","31,782","8,227","18,651","4,904",,,,,,,
"        Rate per 100,000 inhabitants",,612.9,7.1,30.1,129.1,446.7,"4,406.1","1,140.6","2,585.7",679.9,,,,,,,
"Baltimore-Towson, MD M.S.A.","2,639,571",,,,,,,,,,,,,,,,
"    (Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City.)",,,,,,,,,,,,,,,,,
        City of Baltimore,"634,279","11,667",276,182,"4,050","7,159","36,059","7,981","21,366","6,712",,,,,,,
        Total area actually reporting,100.0%,"23,389",329,627,"6,916","15,517","96,620","18,872","65,170","12,578",,,,,,,
"        Rate per 100,000 inhabitants",,886.1,12.5,23.8,262.0,587.9,"3,660.4",715.0,"2,469.0",476.5,,,,,,,
"Bangor, ME M.S.A.1","148,279", ,,,,, ,,,,,,,,,,
    (Includes Penobscot County.),,,,,,,,,,,,,,,,,
        City of Bangor,"31,828",45,0,8,22,15,"1,731",248,"1,432",51,,,,,,,
        Total area actually reporting,100.0%,105,1,20,29,55,"4,630",929,"3,561",140,,,,,,,
"        Rate per 100,000 inhabitants",,70.8,0.7,13.5,19.6,37.1,"3,122.5",626.5,"2,401.6",94.4,,,,,,,
"Barnstable Town, MA M.S.A.","228,941", ,,,,, ,,,,,,,,,,
    (Includes Barnstable County.),,,,,,,,,,,,,,,,,
        City of Barnstable ,"48,777",285,1,25,28,231,"1,291",464,718,109,,,,,,,
        Total area actually reporting,97.5%,817,5,57,78,677,"5,366","1,710","3,362",294,,,,,,,
        Estimated total,100.0%,833,5,58,81,689,"5,477","1,735","3,436",306,,,,,,,
"        Rate per 100,000 inhabitants",,363.8,2.2,25.3,35.4,301.0,"2,392.3",757.8,"1,500.8",133.7,,,,,,,
"Baton Rouge, LA M.S.A.","725,771", ,,,,, ,,,,,,,,,,
"    (Includes Ascension, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana Parishes.)",,,,,,,,,,,,,,,,,
        City of Baton Rouge,"226,063","2,444",47,79,906,"1,412","15,420","4,036","9,822","1,562",,,,,,,
        Total area actually reporting,98.3%,"4,519",79,207,"1,204","3,029","36,111","7,731","25,638","2,742",,,,,,,
        Estimated total,100.0%,"4,592",79,212,"1,217","3,084","36,847","7,844","26,220","2,783",,,,,,,
"        Rate per 100,000 inhabitants",,632.7,10.9,29.2,167.7,424.9,"5,076.9","1,080.8","3,612.7",383.5,,,,,,,
"Battle Creek, MI M.S.A.","139,304", ,,,,, ,,,,,,,,,,
    (Includes Calhoun County.),,,,,,,,,,,,,,,,,
        City of Battle Creek,"63,609",657,7,83,98,469,"3,702",849,"2,672",181,,,,,,,
        Total area actually reporting,100.0%,944,9,143,128,664,"6,126","1,304","4,489",333,,,,,,,
"        Rate per 100,000 inhabitants",,677.7,6.5,102.7,91.9,476.7,"4,397.6",936.1,"3,222.4",239.0,,,,,,,
"Bay City, MI M.S.A.","109,806", ,,,,, ,,,,,,,,,,
    (Includes Bay County.),,,,,,,,,,,,,,,,,
        City of Bay City,"35,543",190,2,34,34,120,"1,134",286,755,93,,,,,,,
        Total area actually reporting,100.0%,311,2,79,47,183,"2,769",580,"1,981",208,,,,,,,
"        Rate per 100,000 inhabitants",,283.2,1.8,71.9,42.8,166.7,"2,521.7",528.2,"1,804.1",189.4,,,,,,,
"Beaumont-Port Arthur, TX M.S.A.","389,056",,,,,,,,,,,,,,,,
"    (Includes Hardin, Jefferson, and Orange Counties.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Beaumont,"114,322","1,060",8,74,334,644,"8,862","1,875","6,469",518,,,,,,,
            Port Arthur,"58,000",293,6,21,111,155,"2,259",768,"1,287",204,,,,,,,
        Total area actually reporting,100.0%,"2,042",17,148,566,"1,311","17,882","4,414","12,241","1,227",,,,,,,
"        Rate per 100,000 inhabitants",,524.9,4.4,38.0,145.5,337.0,"4,596.3","1,134.5","3,146.3",315.4,,,,,,,
"Bellingham, WA M.S.A.","178,654", ,,,,, ,,,,,,,,,,
    (Includes Whatcom County.),,,,,,,,,,,,,,,,,
        City of Bellingham,"72,130",182,2,25,70,85,"5,878",764,"4,749",365,,,,,,,
        Total area actually reporting,100.0%,437,4,90,96,247,"9,420","1,787","6,992",641,,,,,,,
"        Rate per 100,000 inhabitants",,244.6,2.2,50.4,53.7,138.3,"5,272.8","1,000.3","3,913.7",358.8,,,,,,,
"Bend, OR M.S.A.","130,765", ,,,,, ,,,,,,,,,,
    (Includes Deschutes County.),,,,,,,,,,,,,,,,,
        City of Bend,"60,367",105,2,30,29,44,"3,171",558,"2,401",212,,,,,,,
        Total area actually reporting,100.0%,227,2,51,44,130,"5,887","1,202","4,273",412,,,,,,,
"        Rate per 100,000 inhabitants",,173.6,1.5,39.0,33.6,99.4,"4,502.0",919.2,"3,267.7",315.1,,,,,,,
"Billings, MT M.S.A.","144,401", ,, ,,, ,,,,,,,,,,
    (Includes Carbon and Yellowstone Counties.), ,, ,,,,,,,,,,,,,,
        City of Billings,"96,179",179,5,19,56,99,"4,803",618,"3,976",209,,,,,,,
        Total area actually reporting,99.1%,285,6,34,59,186,"5,855",743,"4,832",280,,,,,,,
        Estimated total,100.0%,288,6,34,59,189,"5,901",747,"4,871",283,,,,,,,
"        Rate per 100,000 inhabitants",,199.4,4.2,23.5,40.9,130.9,"4,086.5",517.3,"3,373.2",196.0,,,,,,,
"Binghamton, NY M.S.A.","251,590", ,,,,, ,,,,,,,,,,
    (Includes Broome and Tioga Counties.),,,,,,,,,,,,,,,,,
        City of Binghamton,"46,399",155,1,22,57,75,"1,967",247,"1,686",34,,,,,,,
        Total area actually reporting,100.0%,358,2,57,95,204,"6,009",849,"4,993",167,,,,,,,
"        Rate per 100,000 inhabitants",,142.3,0.8,22.7,37.8,81.1,"2,388.4",337.5,"1,984.6",66.4,,,,,,,
"Birmingham-Hoover, AL M.S.A.","1,079,659",,,,,,,,,,,,,,,,
"    (Includes Bibb, Blount, Chilton, Jefferson, St. Clair, Shelby, and Walker Counties.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Birmingham,"238,167","3,261",59,240,"1,369","1,593","19,477","5,156","11,970","2,351",,,,,,,
            Hoover,"65,495",138,3,15,97,23,"2,117",388,"1,531",198,,,,,,,
        Total area actually reporting,98.4%,"6,174",77,486,"2,282","3,329","47,089","11,626","30,851","4,612",,,,,,,
        Estimated total,100.0%,"6,247",77,491,"2,307","3,372","47,871","11,788","31,414","4,669",,,,,,,
"        Rate per 100,000 inhabitants",,578.6,7.1,45.5,213.7,312.3,"4,433.9","1,091.8","2,909.6",432.5,,,,,,,
"Bismarck, ND M.S.A.1","96,909", ,,,,, ,,,,,,,,,,
    (Includes Burleigh and Morton Counties.),,,,,,,,,,,,,,,,,
        City of Bismarck1,"56,391",51,1,7,4,39,"1,468",174,"1,204",90,,,,,,,
        Total area actually reporting,100.0%,86,1,25,6,54,"2,093",286,"1,674",133,,,,,,,
"        Rate per 100,000 inhabitants",,88.7,1.0,25.8,6.2,55.7,"2,159.8",295.1,"1,727.4",137.2,,,,,,,
"Bloomington, IN M.S.A.","180,185", ,,,,, ,,,,,,,,,,
"    (Includes Greene, Monroe, and Owen Counties.)",,,,,,,,,,,,,,,,,
        City of Bloomington,"71,120",143,0,28,39,76,"2,495",480,"1,898",117,,,,,,,
        Total area actually reporting,82.6%,243,2,44,62,135,"3,919",814,"2,917",188,,,,,,,
        Estimated total,100.0%,302,2,49,74,177,"4,572",939,"3,379",254,,,,,,,
"        Rate per 100,000 inhabitants",,167.6,1.1,27.2,41.1,98.2,"2,537.4",521.1,"1,875.3",141.0,,,,,,,
"Boise City-Nampa, ID M.S.A.","520,943",,,,,,,,,,,,,,,,
"    (Includes Ada, Boise, Canyon, Gem, and Owyhee Counties.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Boise ,"193,864",745,0,125,80,540,"7,293","1,232","5,532",529,,,,,,,
            Nampa,"65,536",284,8,89,23,164,"2,639",461,"1,875",303,,,,,,,
        Total area actually reporting,100.0%,"1,643",12,315,142,"1,174","15,755","2,862","11,565","1,328",,,,,,,
"        Rate per 100,000 inhabitants",,315.4,2.3,60.5,27.3,225.4,"3,024.3",549.4,"2,220.0",254.9,,,,,,,
"Boston-Cambridge-Quincy, MA-NH M.S.A.","4,433,110",,,,,,,,,,,,,,,,
"    (Includes the Metropolitan Divisions of Boston-Quincy, MA; Cambridge-Newton-Framingham, MA; and Essex County, MA and Rockingham County-Strafford County, NH.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Boston, MA","580,087","6,917",61,269,"2,428","4,159","27,616","4,545","17,526","5,545",,,,,,,
"            Cambridge, MA","101,320",503,0,12,245,246,"3,816",724,"2,654",438,,,,,,,
"            Quincy, MA","88,824",381,3,17,100,261,"1,683",516,914,253,,,,,,,
"            Newton, MA","84,101",50,0,3,5,42,856,147,677,32,,,,,,,
"            Framingham, MA","66,069",159,0,10,42,107,"1,612",344,"1,005",263,,,,,,,
"            Waltham, MA","58,739",96,0,9,17,70,854,145,624,85,,,,,,,
        Total area actually reporting,95.4%,"17,283",113,974,"5,100","11,096","99,308","18,883","66,267","14,158",,,,,,,
        Estimated total,100.0%,"17,748",114,"1,027","5,187","11,420","103,155","19,651","68,979","14,525",,,,,,,
"        Rate per 100,000 inhabitants",,400.4,2.6,23.2,117.0,257.6,"2,326.9",443.3,"1,556.0",327.6,,,,,,,
"      Boston-Quincy, MA M.D.","1,817,764",,,,, , ,,,,,,,,,,
"          (Includes Norfolk, Plymouth, and Suffolk Counties.)",,, ,,, , ,,,,,,,,,,
              Total area actually reporting,94.7%,"10,597",80,509,"3,488","6,520","50,653","9,003","33,165","8,485",,,,,,,
              Estimated total,100.0%,"10,885",81,530,"3,545","6,729","52,587","9,442","34,447","8,698",,,,,,,
"              Rate per 100,000 inhabitants",,598.8,4.5,29.2,195.0,370.2,"2,892.9",519.4,"1,895.0",478.5,,,,,,,
"      Cambridge-Newton-Framingham, MA M.D.","1,467,855",,,,,,,,,,,,,,,,
          (Includes Middlesex County.),,,,,,,,,,,,,,,,,
              Total area actually reporting,98.8%,"3,715",19,209,"1,038","2,449","27,430","5,372","18,829","3,229",,,,,,,
              Estimated total,100.0%,"3,766",19,213,"1,048","2,486","27,769","5,449","19,054","3,266",,,,,,,
"              Rate per 100,000 inhabitants",,256.6,1.3,14.5,71.4,169.4,"1,891.8",371.2,"1,298.1",222.5,,,,,,,
"      Essex County, MA M.D.","735,908",,,,,,,,,,,,,,,,
          (Includes Essex County.),,,,,,,,,,,,,,,,,
              Total area actually reporting,98.6%,"2,507",12,127,505,"1,863","15,261","3,645","9,587","2,029",,,,,,,
              Estimated total,100.0%,"2,537",12,129,511,"1,885","15,464","3,691","9,722","2,051",,,,,,,
"              Rate per 100,000 inhabitants",,344.7,1.6,17.5,69.4,256.1,"2,101.3",501.6,"1,321.1",278.7,,,,,,,
"      Rockingham County-Strafford County, NH M.D.","411,583",,,,,,,,,,,,,,,,
          (Includes Rockingham and Strafford Counties.),,,,,,,,,,,,,,,,,
              Total area actually reporting,80.4%,464,2,129,69,264,"5,964",863,"4,686",415,,,,,,,
              Estimated total,100.0%,560,2,155,83,320,"7,335","1,069","5,756",510,,,,,,,
"              Rate per 100,000 inhabitants",,136.1,0.5,37.7,20.2,77.7,"1,782.1",259.7,"1,398.5",123.9,,,,,,,
"Bremerton-Silverdale, WA M.S.A.","243,559",,,,,,,,,,,,,,,,
    (Includes Kitsap County.),, ,,,,,,,,,,,,,,,
        City of Bremerton,"40,064",421,0,75,79,267,"1,871",395,"1,263",213,,,,,,,
        Total area actually reporting,100.0%,"1,058",1,231,125,701,"6,878","1,710","4,543",625,,,,,,,
"        Rate per 100,000 inhabitants",,434.4,0.4,94.8,51.3,287.8,"2,824.0",702.1,"1,865.3",256.6,,,,,,,
"Bridgeport-Stamford-Norwalk, CT M.S.A.","886,033",,,,,,,,,,,,,,,,
    (Includes Fairfield County.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Bridgeport,"140,475","1,419",14,59,541,805,"6,238","1,209","4,109",920,,,,,,,
            Stamford,"120,805",305,3,12,137,153,"2,349",359,"1,803",187,,,,,,,
            Norwalk,"84,659",348,2,13,122,211,"2,761",456,"1,971",334,,,,,,,
            Danbury,"77,802",147,3,19,62,63,"1,858",287,"1,417",154,,,,,,,
            Stratford,"50,473",115,0,8,58,49,"1,716",296,"1,224",196,,,,,,,
        Total area actually reporting,100.0%,"2,516",24,135,977,"1,380","20,230","3,432","14,656","2,142",,,,,,,
"        Rate per 100,000 inhabitants",,284.0,2.7,15.2,110.3,155.8,"2,283.2",387.3,"1,654.1",241.8,,,,,,,
"Brownsville-Harlingen, TX M.S.A.","369,191",,,,,,,,,,,,,,,,
    (Includes Cameron County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Brownsville,"158,801",851,1,48,162,640,"8,287","1,208","6,676",403,,,,,,,
            Harlingen,"61,790",337,3,21,68,245,"4,977","1,137","3,609",231,,,,,,,
        Total area actually reporting,100.0%,"1,724",7,126,301,"1,290","20,018","3,737","15,376",905,,,,,,,
"        Rate per 100,000 inhabitants",,467.0,1.9,34.1,81.5,349.4,"5,422.1","1,012.2","4,164.8",245.1,,,,,,,
"Buffalo-Niagara Falls, NY M.S.A.","1,161,677",,,,,,,,,,,,,,,,
    (Includes Erie and Niagara Counties.),,, ,,,,,,,,,,,,,,
        City of:,, ,,,,,,,,,,,,,,,
            Buffalo,"285,567","3,804",51,212,"1,485","2,056","16,252","3,914","9,929","2,409",,,,,,,
            Cheektowaga Town,"82,368",169,2,17,67,83,"2,699",354,"2,191",154,,,,,,,
            Tonawanda,"15,730",34,0,3,5,26,343,44,282,17,,,,,,,
            Niagara Falls,"54,093",635,4,28,187,416,"2,971",732,"1,942",297,,,,,,,
        Total area actually reporting,100.0%,"5,586",64,362,"1,933","3,227","34,779","7,161","24,230","3,388",,,,,,,
"        Rate per 100,000 inhabitants",,480.9,5.5,31.2,166.4,277.8,"2,993.9",616.4,"2,085.8",291.6,,,,,,,
"Burlington, NC M.S.A.","138,953", ,,,,, ,,,,,,,,,,
    (Includes Alamance County.),,,,,,,,,,,,,,,,,
        City of Burlington,"47,008",294,0,11,83,200,"2,545",534,"1,898",113,,,,,,,
        Total area actually reporting,98.6%,521,2,21,127,371,"4,837","1,233","3,367",237,,,,,,,
        Estimated total,100.0%,529,2,22,129,376,"4,941","1,255","3,444",242,,,,,,,
"        Rate per 100,000 inhabitants",,380.7,1.4,15.8,92.8,270.6,"3,555.9",903.2,"2,478.5",174.2,,,,,,,
"Cape Coral-Fort Myers, FL M.S.A.","503,145",,,,,,,,,,,,,,,,
