Table 6,,,,,,,,,,,,,,,,,
Index of Crime,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2002",,, ,,,,,,,,,,,,,,
Metropolitan Statistical Area,Population,Crime Index  ,Modified Crime Index1,Violent crime2,Property crime2,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,
"         Rate per 100,000 inhabitants",,"5,670.4",,583.1,"5,087.4",6.0,51.7,134.4,391.0,"1,438.3","3,450.1",198.9,,,,,
"Augusta-Aiken, GA-SC M.S.A.","495,578",,, , , , , , ,, , , ,,,,
"    (Includes Columbia, McDuffie, and Richmond Counties, GA and Aiken and Edgefield Counties, SC.)",,,,,,,,,,,,,,,,,
"         City of Aiken, SC","25,938","1,334",,100,"1,234",4,9,23,64,163,"1,018",53,,,,,
         Total area actually reporting,99.9%,"21,823",,"1,564","20,259",23,236,634,671,"4,153","14,332","1,774",,,,,
         Estimated total,100.0%,"21,836",,"1,565","20,271",23,236,634,672,"4,155","14,341","1,775",,,,,
"         Rate per 100,000 inhabitants",,"4,406.2",,315.8,"4,090.4",4.6,47.6,127.9,135.6,838.4,"2,893.8",358.2,,,,,
"Austin-San Marcos, TX M.S.A.","1,305,388",,,,, ,,,,,,,,,,,
"    (Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties.)",,,,,,,,,,,,,,,,,
        City of:,, ,,,,,,,,,,,,,,,
            Austin,"685,784","42,979",,"3,203","39,776",25,256,"1,174","1,748","6,916","29,725","3,135",,,,,
            San Marcos,"36,279","1,593",,146,"1,447",0,34,34,78,234,"1,133",80,,,,,
         Total area actually reporting,100.0%,"62,158",,"4,838","57,320",39,501,"1,403","2,895","10,985","42,237","4,098",,,,,
"         Rate per 100,000 inhabitants",,"4,761.6",,370.6,"4,391.0",3.0,38.4,107.5,221.8,841.5,"3,235.6",313.9,,,,,
"Bakersfield, CA M.S.A.","685,953",,, ,,,,,,,,,,,,,
    (Includes Kern County.),,,, ,,,,,,,,,,,,,
         City of Bakersfield,"256,134","11,846",,"1,071","10,775",22,47,355,647,"2,436","6,941","1,398",,,,,
         Total area actually reporting,100.0%,"29,148", ,"3,371","25,777",51,220,779,"2,321","6,515","15,842","3,420",,,,,
"         Rate per 100,000 inhabitants",,"4,249.3",,491.4,"3,757.8",7.4,32.1,113.6,338.4,949.8,"2,309.5",498.6,,,,,
"Baltimore, MD M.S.A.","2,630,914",,,,, ,,,,,,,,,,,
"    (Includes Baltimore City and Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties.)",,,,,,,,,,,,,,,,,
        City of:,, ,,,,,,,,,,,,,,,
            Baltimore,"671,028","55,820",,"13,789","42,031",253,178,"4,714","8,644","8,759","26,716","6,556",,,,,
            Annapolis,"36,932","2,330",,421,"1,909",4,15,149,253,414,"1,380",115,,,,,
         Total area actually reporting,100.0%,"134,817",,"26,049","108,768",317,631,"7,743","17,358","20,892","74,924","12,952",,,,,
"         Rate per 100,000 inhabitants",,"5,124.3",,990.1,"4,134.2",12.0,24.0,294.3,659.8,794.1,"2,847.8",492.3,,,,,
"Bangor, ME M.S.A.","69,434",, ,,,,,,,,,,,,,,
    (Includes part of Penobscot and Waldo Counties.),,,, ,,,,,,,,,,,,,
         City of Bangor,"31,956","1,630",,39,"1,591",0,4,18,17,158,"1,378",55,,,,,
         Total area actually reporting,99.2%,"2,635", ,53,"2,582",0,7,21,25,302,"2,201",79,,,,,
         Estimated total,100.0%,"2,647",,53,"2,594",0,7,21,25,304,"2,211",79,,,,,
"         Rate per 100,000 inhabitants",,"3,812.3",,76.3,"3,735.9",0.0,10.1,30.2,36.0,437.8,"3,184.3",113.8,,,,,
"Baton Rouge, LA M.S.A.3","604,739",,,,,,,,,,,,,,,,
"    (Includes Ascension, East Baton Rouge, Livingston, and West Baton Rouge Parishes.)",,,,,,,,,,,,,,,,,
         City of Baton Rouge3,"228,515","18,949",,"2,670","16,279",59,133,"1,107","1,371","4,070","10,763","1,446",,,,,
         Total area actually reporting,99.5%,"40,212",,"4,358","35,854",86,260,"1,404","2,608","8,347","25,008","2,499",,,,,
         Estimated total,100.0%,"40,401",,"4,378","36,023",86,261,"1,408","2,623","8,381","25,133","2,509",,,,,
"         Rate per 100,000 inhabitants",,"6,680.7",,723.9,"5,956.8",14.2,43.2,232.8,433.7,"1,385.9","4,156.0",414.9,,,,,
"Beaumont-Port Arthur, TX M.S.A.","402,229",,,,,,,,,,,,,,,,
"    (Includes Hardin, Jefferson, and Orange Counties.)",,,,,,, ,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Beaumont,"118,934","10,443",,"1,150","9,293",7,172,408,563,"1,722","7,015",556,,,,,
            Port Arthur,"60,326","2,883",,368,"2,515",6,14,170,178,866,"1,357",292,,,,,
         Total area actually reporting,100.0%,"21,438",,"2,316","19,122",19,312,701,"1,284","4,342","13,336","1,444",,,,,
"         Rate per 100,000 inhabitants",,"5,329.8",,575.8,"4,754.0",4.7,77.6,174.3,319.2,"1,079.5","3,315.5",359.0,,,,,
"Bellingham, WA M.S.A.","171,763",,,, , , , ,, , , , ,,,,
    (Includes Whatcom County.),,,,,,,,, ,,,,,,,,
         City of Bellingham,"69,164","5,108",,164,"4,944",2,22,71,69,678,"3,972",294,,,,,
         Total area actually reporting,100.0%,"8,996",,422,"8,574",4,103,90,225,"1,685","6,350",539,,,,,
"         Rate per 100,000 inhabitants",,"5,237.4", ,245.7,"4,991.8",2.3,60.0,52.4,131.0,981.0,"3,697.0",313.8,,,,,
"Benton Harbor, MI M.S.A.","164,284",,,,,,,,,,,,,,,,
    (Includes Berrien County.),,,,,,,,,,,,,,,,,
         City of Benton Harbor,"11,308",993,,303,690,1,17,32,253,249,364,77,,,,,
         Total area actually reporting,99.6%,"6,941",,876,"6,065",8,112,101,655,"1,275","4,376",414,,,,,
         Estimated total,100.0%,"6,960",,877,"6,083",8,112,101,656,"1,278","4,389",416,,,,,
"         Rate per 100,000 inhabitants",,"4,236.6",,533.8,"3,702.7",4.9,68.2,61.5,399.3,777.9,"2,671.6",253.2,,,,,
"Bergen-Passaic, NJ M.S.A.","1,401,881",,,,, , ,,,,,,,,,,
    (Includes Bergen and Passaic Counties.),,,, ,,, , , , , , ,,,,,
         Total area actually reporting,100.0%,"33,533",,"3,495","30,038",28,98,"1,594","1,775","5,476","19,916","4,646",,,,,
"         Rate per 100,000 inhabitants",,"2,392.0",,249.3,"2,142.7",2.0,7.0,113.7,126.6,390.6,"1,420.7",331.4,,,,,
"Billings, MT M.S.A.","130,387",,,, , , , ,, , , ,,,,,
    (Includes Yellowstone County.),,,,,,,,, ,,,,,,,,
         City of Billings,"90,569","4,846",,215,"4,631",0,13,59,143,407,"3,943",281,,,,,
         Total area actually reporting,100.0%,"6,020",,322,"5,698",0,16,69,237,520,"4,829",349,,,,,
"         Rate per 100,000 inhabitants",,"4,617.0", ,247.0,"4,370.1",0.0,12.3,52.9,181.8,398.8,"3,703.6",267.7,,,,,
"Biloxi-Gulfport-Pascagoula, MS M.S.A.","367,459",,,,, , ,,,,,,,,,,
"    (Includes Hancock, Harrison, and Jackson Counties.)",,,, ,,, , , , , , ,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Biloxi,"51,127","3,852",,329,"3,523",2,29,120,178,921,"2,305",297,,,,,
            Gulfport,"71,805","5,818",,326,"5,492",11,48,165,102,"1,168","3,856",468,,,,,
            Pascagoula,"26,450","2,344",,153,"2,191",2,14,84,53,505,"1,436",250,,,,,
         Total area actually reporting,92.3%,"20,136", ,"1,295","18,841",32,156,505,602,"4,648","12,598","1,595",,,,,
         Estimated total,100.0%,"20,881",,"1,340","19,541",34,164,512,630,"4,846","13,041","1,654",,,,,
"         Rate per 100,000 inhabitants",,"5,682.5",,364.7,"5,317.9",9.3,44.6,139.3,171.4,"1,318.8","3,549.0",450.1,,,,,
"Binghamton, NY M.S.A.","254,727",,,, ,,,,, , ,, ,,,,
    (Includes Broome and Tioga Counties.),,,,,, , , , ,,, ,,,,,
         City of Binghamton,"47,832","2,366",,205,"2,161",6,21,80,98,260,"1,856",45,,,,,
         Total area actually reporting,89.5%,"6,079",,474,"5,605",9,54,127,284,855,"4,574",176,,,,,
         Estimated total,100.0%,"6,717",,529,"6,188",9,57,145,318,939,"5,033",216,,,,,
"         Rate per 100,000 inhabitants",,"2,636.9",,207.7,"2,429.3",3.5,22.4,56.9,124.8,368.6,"1,975.8",84.8,,,,,
"Birmingham, AL M.S.A.","929,271",,,, ,,,,, , ,, ,,,,
"    (Includes Blount, Jefferson, St. Clair, and Shelby Counties.)",,,,,, , , , ,,, ,,,,,
         City of Birmingham,"244,972","21,265",,"3,187","18,078",65,239,"1,186","1,697","4,389","11,640","2,049",,,,,
         Total area actually reporting,90.7%,"39,487",,"4,642","34,845",81,380,"1,729","2,452","7,941","23,407","3,497",,,,,
         Estimated total,100.0%,"43,580",,"4,983","38,597",85,405,"1,841","2,652","8,632","26,204","3,761",,,,,
"         Rate per 100,000 inhabitants",,"4,689.7",,536.2,"4,153.5",9.1,43.6,198.1,285.4,928.9,"2,819.8",404.7,,,,,
"Bismarck, ND M.S.A.","93,525",,,,,,,,,,,,,,,,
    (Includes Burleigh and Morton Counties.),,,,, , , , , , , , , ,,,,
         City of Bismarck,"54,832","1,698",,45,"1,653",1,5,14,25,181,"1,356",116,,,,,
         Total area actually reporting,100.0%,"2,416",,83,"2,333",2,21,19,41,296,"1,862",175,,,,,
"         Rate per 100,000 inhabitants",,"2,583.3",,88.7,"2,494.5",2.1,22.5,20.3,43.8,316.5,"1,990.9",187.1,,,,,
"Bloomington, IN M.S.A.","122,121",,,,,,,,,,,,,,,,
      (Includes Monroe County.),,,,,,,,,,,,,,,,,
         City of Bloomington,"70,186","2,744",,109,"2,635",2,35,32,40,437,"2,053",145,,,,,
         Total area actually reporting,100.0%,"4,225",,258,"3,967",7,52,42,157,676,"3,063",228,,,,,
"         Rate per 100,000 inhabitants",,"3,459.7",,211.3,"3,248.4",5.7,42.6,34.4,128.6,553.5,"2,508.2",186.7,,,,,
"Boise, ID M.S.A.","448,110",,,, ,,,,, ,,,,,,,
    (Includes Ada and Canyon Counties.),,,,,, , , , ,, , , ,,,,
        City of:,,,,,,,,,,,,,,,,,
            Boise,"192,561","8,748",,679,"8,069",6,92,84,497,"1,318","6,209",542,,,,,
            Nampa,"53,759","2,871",,261,"2,610",1,71,27,162,449,"1,912",249,,,,,
         Total area actually reporting,100.0%,"18,494",,"1,435","17,059",12,239,145,"1,039","3,119","12,681","1,259",,,,,
"         Rate per 100,000 inhabitants",,"4,127.1",,320.2,"3,806.9",2.7,53.3,32.4,231.9,696.0,"2,829.9",281.0,,,,,
"Boston, MA-NH M.S.A.","3,448,359",,,, , , , , , ,, ,,,,,
"    (Includes part of Bristol, Essex, Middlesex, Norfolk, Plymouth, Suffolk, and Worcester Counties, MA and part of Rockingham County, NH.)",,,,,,,,,,, ,, ,,,,
         City of:,,,,,,,,,,,,,,,,,
"            Boston, MA","596,444","35,706",,"6,956","28,750",60,369,"2,533","3,994","3,830","17,824","7,096",,,,,
"            Cambridge, MA","102,611","4,306",,497,"3,809",6,11,195,285,720,"2,664",425,,,,,
"            Lynn, MA","90,156","3,924",,857,"3,067",3,9,180,665,561,"1,463","1,043",,,,,
"            Waltham, MA","59,960","1,126",,92,"1,034",1,5,19,67,144,779,111,,,,,
"            Gloucester, MA","30,648",738,,72,666,0,6,7,59,142,496,28,,,,,
         Total area actually reporting,96.0%,"97,790",,"15,269","82,521",90,782,"4,299","10,098","13,305","55,738","13,478",,,,,
         Estimated total,100.0%,"100,675",,"15,612","85,063",91,806,"4,351","10,364","13,810","57,512","13,741",,,,,
"         Rate per 100,000 inhabitants",,"2,919.5",,452.7,"2,466.8",2.6,23.4,126.2,300.5,400.5,"1,667.8",398.5,,,,,
"Brazoria, TX M.S.A.","252,527",,,,,,,,,,,,,,,,
    (Includes Brazoria County.),,, ,,,,,,,,,,,,,,
         Total area actually reporting,99.7%,"7,583",,677,"6,906",11,109,123,434,"1,564","4,835",507,,,,,
         Estimated total,100.0%,"7,622",,680,"6,942",11,109,124,436,"1,571","4,861",510,,,,,
"         Rate per 100,000 inhabitants",,"3,018.3",,269.3,"2,749.0",4.4,43.2,49.1,172.7,622.1,"1,924.9",202.0, ,,,,
"Bremerton, WA M.S.A.","238,852",,,,,,,,,,,,,,,,
    (Includes Kitsap County.),,,,, , , , , , , , , ,,,,
         City of Bremerton,"38,365","2,917",,407,"2,510",1,82,64,260,519,"1,659",332,,,,,
         Total area actually reporting,100.0%,"9,147",,924,"8,223",1,185,116,622,"2,039","5,476",708,,,,,
"         Rate per 100,000 inhabitants",,"3,829.6",,386.9,"3,442.7",0.4,77.5,48.6,260.4,853.7,"2,292.6",296.4,,,,,
"Bridgeport, CT M.S.A.","451,581",,,,,,,,,,,,,,,,
    (Includes part of Fairfield and New Haven Counties.),,,,, , , , , , , , , ,,,,
         City of Bridgeport,"141,780","8,551",,"1,695","6,856",12,65,555,"1,063","1,401","3,920","1,535",,,,,
         Total area actually reporting,100.0%,"16,044",,"2,046","13,998",17,115,715,"1,199","2,544","9,259","2,195",,,,,
"         Rate per 100,000 inhabitants",,"3,552.9",,453.1,"3,099.8",3.8,25.5,158.3,265.5,563.4,"2,050.4",486.1,,,,,
"Brockton, MA M.S.A.","258,627",, ,,,,,,,,,,,,,,
"    (Includes part of Bristol, Norfolk, and Plymouth Counties.)",,,,,,,,,,,,,,,,,
         City of Brockton,"95,473","5,167", ,"1,071","4,096",9,44,251,767,681,"2,252","1,163",,,,,
         Total area actually reporting,77.2%,"7,372", ,"1,377","5,995",9,53,285,"1,030",990,"3,637","1,368",,,,,
         Estimated total,100.0%,"8,618",,"1,528","7,090",10,63,308,"1,147","1,209","4,399","1,482",,,,,
"         Rate per 100,000 inhabitants",,"3,332.2", ,590.8,"2,741.4",3.9,24.4,119.1,443.5,467.5,"1,700.9",573.0,,,,,
"Brownsville-Harlingen-San Benito, TX M.S.A.","350,147",,,,,,,,,,,,,,,,
    (Includes Cameron County.),,,,,,,,,,,,,,,,,
        City of:, ,,, ,,,,,,,,,,,,,
            Brownsville,"145,941","12,759",,806,"11,953",1,32,181,592,"1,207","10,266",480,,,,,
            Harlingen,"60,126","4,041", ,289,"3,752",5,27,54,203,795,"2,730",227,,,,,
            San Benito,"24,488","2,089",,43,"2,046",0,6,13,24,265,"1,698",83,,,,,
         Total area actually reporting,100.0%,"22,627",,"1,508","21,119",11,108,279,"1,110","3,159","17,005",955,,,,,
"         Rate per 100,000 inhabitants", ,"6,462.1",,430.7,"6,031.5",3.1,30.8,79.7,317.0,902.2,"4,856.5",272.7,,,,,
"Bryan-College Station, TX M.S.A.","159,199",,,,,,,,,,,,,,,,
    (Includes Brazos County.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Bryan,"68,583","4,447",,490,"3,957",3,60,81,346,858,"2,879",220,,,,,
            College Station,"70,911","2,972",,141,"2,831",2,37,16,86,354,"2,374",103,,,,,
         Total area actually reporting,100.0%,"8,539",,700,"7,839",6,106,98,490,"1,402","6,093",344,,,,,
"         Rate per 100,000 inhabitants", ,"5,363.7", ,439.7,"4,924.0",3.8,66.6,61.6,307.8,880.7,"3,827.3",216.1,,,,,
"Buffalo-Niagara Falls, NY M.S.A.","1,181,277",,,,,,,,,,,,,,,,
    (Includes Erie and Niagara Counties.),,,,,,,,,,,,,,,,,
        City of:,,,, ,,,,,,,,,,,,,
            Buffalo,"295,441","19,017",,"3,757","15,260",43,185,"1,627","1,902","3,857","9,115","2,288",,,,,
            Niagara Falls,"56,123","3,847", ,559,"3,288",3,30,167,359,827,"2,078",383,,,,,
         Total area actually reporting,84.3%,"37,760",,"5,300","32,460",48,299,"2,068","2,885","6,771","22,123","3,566",,,,,
         Estimated total,100.0%,"41,495",,"5,641","35,854",52,326,"2,155","3,108","7,337","24,715","3,802",,,,,
"         Rate per 100,000 inhabitants",,"3,512.7",,477.5,"3,035.2",4.4,27.6,182.4,263.1,621.1,"2,092.2",321.9,,,,,
"Burlington, VT M.S.A.","163,177",,,,,,,,,,,,,,,,
"    (Includes part of Chittenden, Franklin, and Grand Isle Counties.)",,,,,,,,,,,,,,,,,
         City of Burlington,"39,385","1,871",,115,"1,756",1,5,18,91,324,"1,349",83,,,,,
         Total area actually reporting,100.0%,"5,417",,216,"5,201",8,16,34,158,"1,128","3,858",215,,,,,
"         Rate per 100,000 inhabitants",,"3,319.7",,132.4,"3,187.3",4.9,9.8,20.8,96.8,691.3,"2,364.3",131.8,,,,,
"Casper, WY M.S.A.","67,196",,,,,,,,,,,,,,,,
    (Includes Natrona County.),,,, ,,,,,,,,,,,,,
         City of Casper,"50,139","2,725",,148,"2,577",2,14,16,116,505,"1,936",136,,,,,
         Total area actually reporting,100.0%,"3,360",,184,"3,176",3,14,18,149,667,"2,317",192,,,,,
"         Rate per 100,000 inhabitants",,"5,000.3",,273.8,"4,726.5",4.5,20.8,26.8,221.7,992.6,"3,448.1",285.7,,,,,
"Cedar Rapids, IA M.S.A.","192,385",,,,,,,,,,,,,,,,
    (Includes Linn County.),,,,,,,,,,,,,,,,,
         City of Cedar Rapids,"121,189","7,233",,430,"6,803",2,57,104,267,"1,111","5,387",305,,,,,
         Total area actually reporting,96.6%,"8,226",,481,"7,745",2,65,109,305,"1,382","5,994",369,,,,,
         Estimated total,100.0%,"8,441",,493,"7,948",2,66,111,314,"1,409","6,162",377,,,,,
"         Rate per 100,000 inhabitants", ,"4,387.6",,256.3,"4,131.3",1.0,34.3,57.7,163.2,732.4,"3,203.0",196.0,,,,,
"Charleston, WV M.S.A.","250,758",, ,,,,,,,,,,,,,,
    (Includes Kanawha and Putnam Counties.),,,,,,,,,,,,,,,,,
         City of Charleston,"53,230","4,463", ,553,"3,910",7,25,162,359,838,"2,615",457,,,,,
