Table 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index of Crime1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2001",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Metropolitan Statistical Area,Population,Crime Index total,Modified Crime Index total2,Violent crime3,Property crime3,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,165.4", ,780.3,"5,385.1",7.1,36.4,159.2,577.5,"1,677.0","3,450.7",257.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allentown-Bethlehem-Easton, PA M.S.A.","638,275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Carbon, Lehigh, and Northampton Counties.)",,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Allentown,"106,685","5,237",,618,"4,619",8,46,295,269,"1,111","3,052",456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Bethlehem,"71,364","2,472",,249,"2,223",4,14,76,155,427,"1,633",163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,82.4%,"16,256", ,"1,649","14,607",26,131,503,989,"2,620","10,878","1,109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"18,969",,"1,901","17,068",28,148,567,"1,158","2,959","12,810","1,299",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,971.9",,297.8,"2,674.1",4.4,23.2,88.8,181.4,463.6,"2,007.0",203.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Altoona, PA M.S.A.","129,090", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Blair County.),, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Altoona,"49,548","2,057",,208,"1,849",2,34,72,100,450,"1,312",87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,82.1%,"3,323",,289,"3,034",4,44,87,154,671,"2,210",153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"3,883",,342,"3,541",5,48,100,189,741,"2,608",192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,008.0", ,264.9,"2,743.0",3.9,37.2,77.5,146.4,574.0,"2,020.3",148.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amarillo, TX M.S.A.","222,802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Potter and Randall Counties.),,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Amarillo,"177,567","13,627",,"1,402","12,225",19,98,277,"1,008","2,533","8,747",945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"14,698",,"1,470","13,228",21,100,281,"1,068","2,797","9,427","1,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,596.9", ,659.8,"5,937.1",9.4,44.9,126.1,479.3,"1,255.4","4,231.1",450.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anchorage, AK M.S.A.","263,588",,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Anchorage Borough.),,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"13,214",,"1,748","11,466",10,210,384,"1,144","1,606","8,648","1,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants", ,"5,013.1", ,663.2,"4,350.0",3.8,79.7,145.7,434.0,609.3,"3,280.9",459.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ann Arbor, MI M.S.A.","581,786", ,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Lenawee, Livingston, and Washtenaw Counties.)",,,,, ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Ann Arbor,"114,625","3,880",,352,"3,528",1,25,125,201,739,"2,626",163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.4%,"17,378",,"1,557","15,821",25,195,351,986,"3,048","11,524","1,249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"17,506",,"1,568","15,938",25,196,353,994,"3,067","11,608","1,263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,009.0", ,269.5,"2,739.5",4.3,33.7,60.7,170.9,527.2,"1,995.2",217.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anniston, AL M.S.A.","112,685", ,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Calhoun County.),,,,, ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Anniston,"24,370","3,531",,538,"2,993",8,37,144,349,871,"1,920",202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"6,591",,846,"5,745",10,58,205,573,"1,467","3,927",351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,849.0", ,750.8,"5,098.3",8.9,51.5,181.9,508.5,"1,301.9","3,484.9",311.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appleton-Oshkosh-Neenah, WI M.S.A.","359,119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Calumet, Outagamie, and Winnebago Counties.)",,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Appleton,"70,587","1,912",,152,"1,760",1,16,8,127,236,"1,467",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Oshkosh,"63,364","2,281",,127,"2,154",0,13,16,98,251,"1,830",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Neenah,"24,682",528,,26,502,0,5,2,19,46,430,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.2%,"8,493",,410,"8,083",1,63,31,315,933,"6,869",281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"8,582",,413,"8,169",1,63,32,317,943,"6,941",285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,389.7",,115.0,"2,274.7",0.3,17.5,8.9,88.3,262.6,"1,932.8",79.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asheville, NC M.S.A.","229,810",,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Buncombe and Madison Counties.),,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Asheville,"70,061","4,734",,475,"4,259",1,42,217,215,905,"2,918",436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.1%,"8,253",,743,"7,510",1,55,261,426,"1,920","4,847",743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"8,385",,752,"7,633",1,55,264,432,"1,945","4,939",749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,648.7",,327.2,"3,321.4",0.4,23.9,114.9,188.0,846.4,"2,149.2",325.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Athens, GA M.S.A.","157,146",,, ,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Clarke, Madison, and Oconee Counties.)",,,,, ,, , , , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Athens-Clarke County,"102,843","6,855",,451,"6,404",8,26,156,261,"1,069","4,956",379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,84.2%,"7,943",,483,"7,460",8,29,166,280,"1,158","5,862",440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"8,790",,553,"8,237",9,34,196,314,"1,329","6,370",538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,593.5",,351.9,"5,241.6",5.7,21.6,124.7,199.8,845.7,"4,053.6",342.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atlanta, GA M.S.A.4","4,211,379",,, , , , , , ,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Barrow, Bartow, Carroll, Cherokee, Clayton, Cobb, Coweta, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Henry, Newton, Paulding, Pickens, Rockdale, Spalding, and Walton Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Atlanta,"426,511","52,195",,"10,808","41,387",144,367,"4,341","5,956","8,731","25,721","6,935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.9%,"200,425",,"23,762","176,663",332,"1,133","9,813","12,484","35,909","116,625","24,129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"203,230",,"24,009","179,221",334,"1,146","9,900","12,629","36,314","118,529","24,378",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,825.7",,570.1,"4,255.6",7.9,27.2,235.1,299.9,862.3,"2,814.5",578.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atlantic-Cape May, NJ M.S.A.","357,833",,, ,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Atlantic and Cape May Counties.),,,,, ,,, ,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Atlantic City,"40,854","6,777",,743,"6,034",5,33,255,450,688,"5,168",178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"18,769", ,"1,721","17,048",17,106,512,"1,086","2,719","13,669",660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,245.2",,481.0,"4,764.2",4.8,29.6,143.1,303.5,759.9,"3,819.9",184.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Augusta-Aiken, GA-SC M.S.A.","487,051",,, , , , , , ,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Columbia, McDuffie, and Richmond Counties, GA and Aiken and Edgefield Counties, SC.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         City of Aiken, SC","25,659","1,259",,101,"1,158",1,7,23,70,170,925,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.0%,"20,489",,"1,644","18,845",33,218,568,825,"3,853","13,337","1,655",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"20,731",,"1,670","19,061",33,219,574,844,"3,887","13,505","1,669",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,256.4",,342.9,"3,913.6",6.8,45.0,117.9,173.3,798.1,"2,772.8",342.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin-San Marcos, TX M.S.A.","1,278,125",,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Austin,"671,462","43,210",,"3,129","40,081",26,262,"1,171","1,670","7,439","29,276","3,366",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            San Marcos,"35,521","1,466",,125,"1,341",0,39,21,65,241,"1,040",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"61,894",,"4,658","57,236",41,458,"1,368","2,791","11,255","41,740","4,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,842.6",,364.4,"4,478.1",3.2,35.8,107.0,218.4,880.6,"3,265.7",331.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bakersfield, CA M.S.A.","673,941",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Kern County.),,,, ,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Bakersfield,"251,648","10,255",,840,"9,415",22,34,324,460,"2,035","6,226","1,154",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"27,195", ,"3,275","23,920",39,191,741,"2,304","5,926","15,221","2,773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,035.2",,485.9,"3,549.3",5.8,28.3,110.0,341.9,879.3,"2,258.5",411.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baltimore, MD M.S.A.","2,590,914",,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Baltimore City, Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Baltimore,"660,826","63,488",,"14,799","48,689",256,296,"5,747","8,500","10,899","29,615","8,175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Annapolis,"36,370","2,404",,484,"1,920",4,11,154,315,333,"1,456",131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"141,588",,"26,584","115,004",303,765,"8,450","17,066","23,326","77,418","14,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,464.8",,"1,026.0","4,438.7",11.7,29.5,326.1,658.7,900.3,"2,988.1",550.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bangor, ME M.S.A.","69,017",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes part of Penobscot and Waldo Counties.),,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Bangor,"31,763","2,010",,58,"1,952",1,15,20,22,245,"1,642",65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.2%,"3,052", ,72,"2,980",1,18,25,28,376,"2,501",103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"3,065",,72,"2,993",1,18,25,28,378,"2,511",104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,440.9",,104.3,"4,336.6",1.4,26.1,36.2,40.6,547.7,"3,638.2",150.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barnstable-Yarmouth, MA M.S.A.5","163,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes part of Barnstable County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Barnstable,"48,048","1,726", ,275,"1,451",0,18,34,223,407,919,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Yarmouth,"24,925",635,,59,576,0,2,4,53,143,406,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,96.6%,,,,"3,624",2,34,41,,891,"2,527",206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,,,,"3,725",2,35,43,,911,"2,597",217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,,,,"2,280.3",1.2,21.4,26.3,,557.7,"1,589.8",132.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baton Rouge, LA M.S.A.","602,415",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Ascension, East Baton Rouge, Livingston, and West Baton Rouge Parishes.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Baton Rouge,"227,637","20,149",,"2,547","17,602",46,62,"1,071","1,368","3,716","12,128","1,758",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.5%,"41,400",,"4,194","37,206",63,157,"1,400","2,574","7,884","26,441","2,881",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"41,589",,"4,215","37,374",63,158,"1,404","2,590","7,917","26,565","2,892",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,903.7",,699.7,"6,204.0",10.5,26.2,233.1,429.9,"1,314.2","4,409.8",480.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beaumont-Port Arthur, TX M.S.A.","393,829",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Hardin, Jefferson, and Orange Counties.)",,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Beaumont,"116,450","8,845",,"1,114","7,731",10,158,361,585,"1,692","5,512",527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Port Arthur,"59,066","2,753",,351,"2,402",7,15,123,206,862,"1,246",294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"19,360",,"2,127","17,233",19,305,581,"1,222","4,076","11,833","1,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,915.8",,540.1,"4,375.8",4.8,77.4,147.5,310.3,"1,035.0","3,004.6",336.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bellingham, WA M.S.A.","169,470",,,, , , , ,, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Whatcom County.),,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Bellingham,"68,241","4,849",,137,"4,712",1,22,50,64,555,"3,942",215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"8,743",,390,"8,353",1,88,78,223,"1,464","6,426",463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,159.0", ,230.1,"4,928.9",0.6,51.9,46.0,131.6,863.9,"3,791.8",273.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benton Harbor, MI M.S.A.","163,309",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Berrien County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Benton Harbor,"11,241",980,,290,690,6,12,18,254,290,313,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"7,156",,819,"6,337",10,132,86,591,"1,392","4,484",461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,381.9",,501.5,"3,880.4",6.1,80.8,52.7,361.9,852.4,"2,745.7",282.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bergen-Passaic, NJ M.S.A.","1,384,605",,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Bergen and Passaic Counties.),,,, ,,, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
