Table 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index of Crime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2000",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Metropolitan Statistical Area,Population,Crime Index total,Modified Crime Index total1,Violent crime2,Property crime3,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Potter and Randall Counties.),,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Amarillo,"178,888","13,728",,"1,434","12,294",11,97,253,"1,073","2,130","9,343",821,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"14,706",,"1,514","13,192",12,110,264,"1,128","2,333","9,973",886,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,773.8", ,697.4,"6,076.5",5.5,50.7,121.6,519.6,"1,074.6","4,593.7",408.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anchorage, AK M.S.A.","260,900",,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Anchorage Borough.),,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"12,866",,"1,524","11,342",10,195,346,973,"1,533","8,799","1,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants", ,"4,931.4", ,584.1,"4,347.3",3.8,74.7,132.6,372.9,587.6,"3,372.6",387.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ann Arbor, MI M.S.A.","558,168", ,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Lenawee, Livingston, and Washtenaw Counties.)",,,,, ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Ann Arbor,"110,581","3,979",,303,"3,676",-,24,95,184,749,"2,726",201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,97.9%,"16,620",,"1,415","15,205",10,191,313,901,"2,850","11,181","1,174",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"17,055",,"1,455","15,600",10,195,321,929,"2,912","11,463","1,225",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,055.5", ,260.7,"2,794.9",1.8,34.9,57.5,166.4,521.7,"2,053.7",219.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anniston, AL M.S.A.","118,406", ,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Calhoun County.),,,,, ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Anniston,"26,075","4,066",,568,"3,498",6,34,150,378,"1,122","2,144",232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,81.3%,"5,420",,682,"4,738",8,55,170,449,"1,491","2,951",296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"6,643",,800,"5,843",10,62,202,526,"1,707","3,775",361,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,610.4", ,675.6,"4,934.7",8.4,52.4,170.6,444.2,"1,441.6","3,188.2",304.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appleton-Oshkosh-Neenah, WI M.S.A.","353,669",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Calumet, Outagamie, and Winnebago Counties.)",,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Appleton,"68,627","1,734",,97,"1,637",-,11,5,81,209,"1,368",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Oshkosh,"61,634","2,029",,142,"1,887",-,17,9,116,234,"1,600",53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Neenah,"24,429",513,,19,494,-,7,1,11,43,434,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"8,114",,368,"7,746",2,66,20,280,845,"6,623",278,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,294.2",,104.1,"2,190.2",0.6,18.7,5.7,79.2,238.9,"1,872.7",78.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asheville, NC M.S.A.","226,389",,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Buncombe and Madison Counties.),,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Asheville,"69,411","5,172",,488,"4,684",4,24,238,222,969,"3,316",399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.2%,"8,563",,816,"7,747",7,41,264,504,"1,916","5,213",618,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"8,789",,832,"7,957",7,42,269,514,"1,957","5,371",629,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,882.3",,367.5,"3,514.7",3.1,18.6,118.8,227.0,864.4,"2,372.5",277.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Athens, GA M.S.A.","147,546",,, ,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Clarke, Madison, and Oconee Counties.)",,,,, ,, , , , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Athens-Clarke County,"94,238","6,797",,420,"6,377",5,37,157,221,"1,083","4,931",363,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.6%,"8,733",,504,"8,229",7,39,179,279,"1,330","6,440",459,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"8,770",,507,"8,263",7,39,180,281,"1,335","6,466",462,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,943.9",,343.6,"5,600.3",4.7,26.4,122.0,190.4,904.8,"4,382.4",313.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atlantic-Cape May, NJ M.S.A.","348,869",,, ,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Atlantic and Cape May Counties.),,,,, ,,, ,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Atlantic City,"38,963","7,063",,530,"6,533",11,30,279,210,675,"5,621",237,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"19,447", ,"1,506","17,941",18,110,544,834,"2,812","14,428",701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,574.3",,431.7,"5,142.6",5.2,31.5,155.9,239.1,806.0,"4,135.6",200.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Auburn-Opelika, AL M.S.A.","103,970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Lee County.),,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Auburn,"43,354","2,049",,125,"1,924",4,14,37,70,257,"1,613",54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Opelika,"25,342","2,845",,635,"2,210",6,22,86,521,482,"1,616",112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"6,469",,906,"5,563",11,48,141,706,"1,197","4,136",230,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,222.0",,871.4,"5,350.6",10.6,46.2,135.6,679.0,"1,151.3","3,978.1",221.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin-San Marcos, TX M.S.A.4","1,192,230",,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Austin4,"611,561","38,674",,"3,063","35,611",30,349,"1,004","1,680","6,412","26,494","2,705",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            San Marcos,"42,171","1,581",,181,"1,400",2,36,24,119,239,"1,086",75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"55,898",,"4,574","51,324",41,547,"1,184","2,802","9,452","38,379","3,493",, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,688.5",,383.7,"4,304.9",3.4,45.9,99.3,235.0,792.8,"3,219.1",293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bakersfield, CA M.S.A.","656,578",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Kern County.),,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Bakersfield,"227,226","10,279",,716,"9,563",23,25,283,385,"2,304","6,104","1,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"25,560", ,"3,240","22,320",37,175,658,"2,370","5,909","13,773","2,638",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,892.9",,493.5,"3,399.4",5.6,26.7,100.2,361.0,900.0,"2,097.7",401.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baltimore, MD M.S.A.4","2,551,398",,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Baltimore City, Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Baltimore4,"647,955","65,886",,"16,003","49,883",261,366,"6,613","8,763","10,688","31,337","7,858",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Annapolis,"33,925","2,418",,530,"1,888",2,17,191,320,296,"1,463",129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"142,009",,"27,150","114,859",311,853,"9,129","16,857","22,376","78,585","13,898",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,565.9",,"1,064.1","4,501.8",12.2,33.4,357.8,660.7,877.0,"3,080.1",544.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bangor, ME M.S.A.","69,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes part of Penobscot and Waldo Counties.),,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Bangor,"33,232","1,875",,55,"1,820",-,10,19,26,257,"1,483",80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"2,640", ,78,"2,562",-,17,24,37,371,"2,093",98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,805.8",,112.4,"3,693.3",-,24.5,34.6,53.3,534.8,"3,017.2",141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barnstable-Yarmouth, MA M.S.A.5","158,081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes part of Barnstable County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Barnstable5,"47,365",, ,,"1,296",-,22,25,,288,897,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Yarmouth,"23,741",710,,76,634,1,7,8,60,222,385,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,,,,"3,694",2,47,39,,882,"2,623",189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,,, ,"2,336.8",1.3,29.7,24.7,,557.9,"1,659.3",119.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beaumont-Port Arthur, TX M.S.A.","391,417",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Hardin, Jefferson, and Orange Counties.)",,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Beaumont,"114,117","8,243",,"1,073","7,170",12,137,400,524,"1,551","5,025",594,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Port Arthur,"58,854","2,873",,431,"2,442",2,33,156,240,878,"1,220",344,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"18,468",,"2,095","16,373",19,261,660,"1,155","3,934","11,018","1,421",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,718.2",,535.2,"4,183.0",4.9,66.7,168.6,295.1,"1,005.1","2,814.9",363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bellingham, WA M.S.A.","164,147",,,, , , , ,, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Whatcom County.),,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Bellingham,"64,527","4,149",,134,"4,015",3,18,42,71,587,"3,247",181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"7,669",,372,"7,297",5,81,73,213,"1,525","5,377",395,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,672.0", ,226.6,"4,445.4",3.0,49.3,44.5,129.8,929.0,"3,275.7",240.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benton Harbor, MI M.S.A.","160,918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Berrien County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Benton Harbor,"11,808",704,,223,481,-,25,12,186,202,217,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,82.9%,"6,141",,692,"5,449",8,105,62,517,"1,255","3,827",367,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"7,172",,789,"6,383",9,115,82,583,"1,402","4,494",487,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,456.9",,490.3,"3,966.6",5.6,71.5,51.0,362.3,871.3,"2,792.7",302.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bergen-Passaic, NJ M.S.A.","1,386,769",,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Bergen and Passaic Counties.),,,, ,,, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"32,683",,"3,588","29,095",28,95,"1,491","1,974","5,167","19,715","4,213",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,356.8",,258.7,"2,098.0",2.0,6.9,107.5,142.3,372.6,"1,421.6",303.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Biloxi-Gulfport-Pascagoula, MS M.S.A.","362,905",,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Hancock, Harrison, and Jackson Counties.)",,,, ,,, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Biloxi,"49,071","5,160",,316,"4,844",1,33,154,128,630,"3,914",300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Gulfport,"66,455","5,940",,265,"5,675",4,60,135,66,"1,151","4,074",450,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Pascagoula,"28,096","2,360",,163,"2,197",4,10,76,73,489,"1,498",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,93.2%,"21,146", ,"1,209","19,937",22,190,506,491,"4,350","14,466","1,121",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"21,761",,"1,251","20,510",24,197,515,515,"4,549","14,811","1,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,996.3",,344.7,"5,651.6",6.6,54.3,141.9,141.9,"1,253.5","4,081.2",316.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Binghamton, NY M.S.A.","259,043",,,, ,,,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Broome and Tioga Counties.),,,,,, , , , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Binghamton,"48,674","2,364",,178,"2,186",1,15,60,102,245,"1,877",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,97.7%,"6,546",,453,"6,093",1,51,107,294,912,"5,012",169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"6,708",,466,"6,242",1,52,111,302,933,"5,130",179,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,589.5",,179.9,"2,409.6",0.4,20.1,42.9,116.6,360.2,"1,980.4",69.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Birmingham, AL M.S.A.","917,976",,,, ,,,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Blount, Jefferson, St. Clair, and Shelby Counties.)",,,,,, , , , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Birmingham,"253,868","20,749",,"2,947","17,802",79,228,977,"1,663","4,078","11,975","1,749",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,85.9%,"40,041",,"4,627","35,414",98,353,"1,509","2,667","7,701","24,608","3,105",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"47,209",,"5,312","41,897",108,392,"1,695","3,117","8,970","29,439","3,488",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,142.7",,578.7,"4,564.1",11.8,42.7,184.6,339.6,977.1,"3,206.9",380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bismarck, ND M.S.A.","93,177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Burleigh and Morton Counties.),,,,, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Bismarck,"55,851","1,899",,31,"1,868",-,6,9,16,235,"1,546",87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"2,622",,73,"2,549",-,18,9,46,332,"2,092",125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,814.0",,78.3,"2,735.7",-,19.3,9.7,49.4,356.3,"2,245.2",134.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bloomington, IN M.S.A.","119,630",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      (Includes Monroe County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Bloomington,"68,288","2,728",,122,"2,606",-,31,31,60,385,"2,076",145,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"4,316",,208,"4,108",2,42,39,125,702,"3,187",219,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,607.8",,173.9,"3,433.9",1.7,35.1,32.6,104.5,586.8,"2,664.0",183.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boise, ID M.S.A.","421,612",,,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Ada and Canyon Counties.),,,,,, , , , ,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Boise,"174,054","8,335",,653,"7,682",1,68,62,522,"1,349","5,946",387,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Nampa,"47,682","2,779",,202,"2,577",-,27,12,163,397,"2,046",134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
